person_id,first_name,middle_name,last_name,display_name,phd_year,phd_institution,interests,google_scholar_id,openalex_author_id,orcid,semantic_scholar_id,researchgate_url,linkedin_url,personal_url,notes
21,Mark,,Roseland,Mark Roseland,1992,University of British Columbia,,HSr3W8AAAAAJ,A5073151148,0000-0002-8933-3607,,,,,
22,David,,Sailor,David Sailor,1993,UC Berkeley,,qAeVtqwAAAAJ,A5084230451,0000-0003-1720-8214,,,,,
23,Deborah,,Salon,Deborah Salon,2006,UC Davis,,cvqNuosAAAAJ,A5022369469,0000-0002-2240-8408,,,,,
24,Daoqin,,Tong,Daoqin Tong,2007,Ohio State University,,xolGcEIAAAAJ,A5045506481,0000-0001-7005-5128,,,,,
25,Elizabeth,,Wentz,Elizabeth Wentz,1997,Pennsylvania State University,,pdxbJg0AAAAJ,A5056662229,0000-0002-2881-0668,,,,,
26,Sweta,,Byahut,Sweta Byahut,2012,University of Cincinnati,"Land management, development regulation, disaster mitigation, planning in Indian cities",kpbXtqsAAAAJ,A5018043972,0000-0002-9324-3495,,,,,
27,Megan,E.,LaFrombois,Megan LaFrombois,2014,"University of Illinois, Chicago",,CM-d0S0AAAAJ,A5010201073,0000-0002-2196-0655,,,,,
28,Binita,,Mahato,Binita Mahato,2018,University of Cincinnati,,LOmY700AAAAJ,A5018083482,0000-0002-2716-0130,,,,,
29,Jay,,Mittal,Jay Mittal,2011,University of Cincinnati,"GIS, Urban Economics, Real Estate Development",iS703cMAAAAJ,A5008603937,0000-0003-0100-3484,,https://researchgate.net/profile/Jay_Mittal2,https://linkedin.com/in/jaymit,,
30,Rebecca,,Retzlaff,Rebecca Retzlaff,2006,"University of Illinois, Chicago","Environmental Planning and Policy, Historic Preservation, Land Use Planning and Regulation, Growth Management",oSoTwbYAAAAJ,A5076954275,0000-0001-7619-7549,,,https://linkedin.com/in/rebecca-retzlaff-4529a6a,,
31,Michael,A.,Burayidi,Michael Burayidi,1993,University of Louisville,"Land Use Planning, Economic Development, Comparative Planning Systems, Housing and Real Estate Development.",,A5012528527,,,,https://linkedin.com/in/michael-burayidi-a382b210,,
32,Lohren,,Deeg,Lohren Deeg,2004,Ball State University,"Urban and Town Design, Design Comm Media, Theory, History, Graphic layout",RFYdIqQAAAAJ,A5061871632,,,https://researchgate.net/profile/Lohren_Deeg,https://linkedin.com/in/lohren-deeg-30054b12,,
33,Scott,I.,Truex,Scott Truex,1982,Ball State University,"Urban Design, Community Design & Sustainable Development Practices",,,,,,https://linkedin.com/in/scott-truex-0298a72,,
34,John,,West,John West,2015,Columbia University,,,A5019937678,0000-0001-9846-6068,,,,,
35,Sanglim,,Yoo,Sanglim Yoo,2012,SUNY College of Environmental Science and Forestry,,,A5004228941,0000-0003-3747-6670,,https://researchgate.net/profile/Sanglim_Yoo,https://linkedin.com/in/sanglim-yoo-19946626,,
36,Dina,,Adbulkarim,Dina Adbulkarim,2012,Ohio State University,,,,,,,,,
37,So-Ra,,Baek,So-Ra Baek,2013,University of Washington,"Demography and statistics for planning, GIS for planning, research approaches to planning, and local transportation planning",,A5027522379,0000-0001-7471-7280,,,,,
38,Chris,,Giamarino,Chris Giamarino,2023,UCLA,,JFjdQ94AAAAJ,,,,,,,
39,Alvaro,,Huerta,Alvaro Huerta,2011,UC Berkeley,Community Development.,hZSH7SEAAAAJ,A5080300095,,,,,,
40,Dohyung,,Kim,Dohyung Kim,2005,University of Florida,,s8hqUgMAAAAJ,,,,,,,
41,Nicole,,Lambrou,Nicole Lambrou,2022,UCLA,,ghfUm28AAAAJ,A5043059365,0000-0002-8321-4498,,,,,
42,Xijing,,Li,Xijing Li,2024,UNC,,dTKY41IAAAAJ,,,,,,,
43,David,,Amos,David Amos,2020,UC Berkeley,,d23fm7kAAAAJ,,,,,,,
44,Michael,,Boswell,Michael Boswell,2000,Florida State University,"Environmental Planning, Hazard Mitigation, Planning Theory, Climate Action Planning, Sustainability",0ScZwpcAAAAJ,A5075175227,0000-0001-7785-0730,,,https://linkedin.com/in/mrboswell,,
45,Adrienne,,Greve,Adrienne Greve,2006,University of Washington,"Urban Ecology, Planning and Climate Change, Urban Hydrology and Stormwater",f-lzoR4AAAAJ,A5056294943,,,https://researchgate.net/profile/Adrienne_Greve/,https://linkedin.com/in/adrienne-greve-58718513,,
46,Amir,,Hajrasouliha,Amir Hajrasouliha,2015,University of Utah,,Z1qu-3MAAAAJ,A5031009232,0000-0002-3084-0145,,,,,
47,Kelly,,Main,Kelly Main,2007,UCLA,"Community Planning, Land Use Planning, Public Realm, Cultural Aspects of Planning, Place Attachment",,A5004534525,,,,https://linkedin.com/in/kelly-main-a545a341,,
48,Cornelius,,Nuworsoo,Cornelius Nuworsoo,2004,UC Berkeley,"Transportation Engineering, Transportation and Land Use Planning, Quantitative Methods in Planning",,A5080562239,,,https://researchgate.net/profile/Cornelius_Nuworsoo,,,
49,Ryan,,Sandwick,Ryan Sandwick,2013,University of Glasgow,,,,,,,,,
50,Anahita,,Shadkam,Anahita Shadkam,2024,University of Waterloo,,11m1T1cAAAAJ,,,,,,,
51,Miriam,,Giottonini-Badilla,Miriam Giottonini-Badilla,2018,UCLA,,,,,,,,,
52,Henrik,P.,Minassians,Henrik Minassians,2002,SUNY Albany,"Public Administration, Urban Policy Design and Management, Urban Governance, Contract Design and Management, Policy Implementation Theory.",NWlpZX4AAAAJ,A5008402850,,,https://researchgate.net/profile/Henrik_Minassians,https://linkedin.com/in/henrik-minassians-3bb82751,,
53,Craig,,Olwert,Craig Olwert,2010,Ohio State University,"Urban Economics, Sustainability, Environmental Planning, City Form, GIS, Quantitative Methods",,A5035373175,0000-0003-4803-9863,,,https://linkedin.com/in/craig-olwert-84357b6,,
54,Ward,,Thomas,Ward Thomas,1997,UCLA,"Economic Development, Public Policy Analysis, Environmental Planning",,,,,,,,
55,Zeynep,,Toker,Zeynep Toker,2004,North Carolina State University,"Community Participation, Research Based Urban Design, Housing and Gender in Planning, Research Methods",,A5047582441,,,https://researchgate.net/profile/Zeynep_Aytug3,,,
56,Mintesnot,,Woldeamanuel,Mintesnot Woldeamanuel,2007,Hokkaido University,"Urban Transportation Planning, Urban Land Use Planning, Travel Behavior, Community Development, and Sustainability",0aopPI8AAAAJ,A5040310213,0000-0001-5291-0602,,,https://linkedin.com/in/mintesnot-woldeamanuel-070b9a10,,
57,Caitlin,,Dyckman,Caitlin Dyckman,2005,UC Berkeley,"Environmental Planning, Planning Law, Water Policy and Law, Land Use Planning Process",5MjUqx0AAAAJ,A5056819468,0000-0003-3615-2017,,https://researchgate.net/profile/Caitlin_Dyckman,https://linkedin.com/in/caitlin-dyckman-2608364,,
58,John,,Gaber,John Gaber,1993,Columbia University,,WM_NNugAAAAJ,A5006897357,,,,,,
59,Eric,A.,Morris,Eric Morris,2011,UCLA,"Transportation Planning, Policy, Economics, Equity and History, Transportation and Land Use, Transportation and the Environment, Travel Behavior, Regional Economics and Economic Geography, Cities, Planning and Well-Being.",Fc1IlK8AAAAJ,A5082165165,0000-0001-8690-6644,,https://researchgate.net/profile/Eric_Morris6,,,
60,Roland,,Anglin,Roland Anglin,1991,University of Chicago,,,A5067237139,,,,,,
61,Joanna,,Ganning,Joanna Ganning,2010,"University of Illinois, Urbana-Champaign","Regional and Community Economic Development: Urban-Rural Linkages, Urban and Rural Amenities, and the Economic Role of Universities in Regions",tEoLIlAAAAAJ,A5008867275,0000-0002-8448-0288,,,,,
62,Thomas,,Hilde,Thomas Hilde,2017,"University of Texas, Austin",,9pJph3wAAAAJ,,0000-0001-6584-3066,,,,,"un-accepted 2026-09-15: OpenAlex 3,489 citations against 136 from google_scholar (25.7x); probable namesake"
63,Brian,A.,Mikelbank,Brian Mikelbank,2000,Ohio State University,"Quantitative Spatial Analysis, Urban Geographic Information Systems, Urban Geography, Economic Geography.",ZlxKpwEAAAAJ,A5058360151,0009-0004-6914-9089,,,https://linkedin.com/in/brian-mikelbank-99843984,,
64,Stephanie,,Ryberg-Webster,Stephanie Ryberg-Webster,2010,University of Pennsylvania,,iwUHlEgAAAAJ,A5052127889,0000-0002-7601-0294,,,,,
65,Hiba,,Akar,Hiba Bou Akar,2012,UC Berkeley,,hvXw6qgAAAAJ,A5059844203,0000-0002-9696-1396,,,,,
66,Hugo,,Sarmiento,Hugo Sarmiento,2023,UCLA,,,,,,,,,
67,Tom,,Slater,Tom Slater,2003,King's College London,,oasQsCgAAAAJ,,,,,,,
68,Anthony,,Vanky,Anthony Vanky,2017,MIT,,rKjkv7sAAAAJ,A5068901903,,,,,,
69,Weiping,,Wu,Weiping Wu,1996,Rutgers University,"Comparative Urban Development, Urban Economic Policy, China",0-jEvAcAAAAJ,,,,,https://linkedin.com/in/weiping-wu-25825295,,
70,Victoria,A.,Beard,Victoria Beard,1999,University of British Columbia,,eMY0_XUAAAAJ,A5057436464,0009-0004-6487-7239,,,https://linkedin.com/in/victoria-beard-2b66b566,,
71,Sara,,Bronin,Sara Bronin,2006,Yale,,eeCNqPYAAAAJ,A5066632287,0000-0001-9782-824X,,,,,
72,Nancy,,Brooks,Nancy Brooks,1995,University of Pennsylvania,,,A5076592264,,,,,,
73,Thomas,J.,Campanella,Thomas Campanella,1999,MIT,,9QvYdroAAAAJ,A5035473610,,,https://researchgate.net/profile/Thomas_Campanella2,https://linkedin.com/in/thomas-j-campanella-002a1a75,,
74,John,,Carruthers,John Carruthers,2001,University of Washington,"Sustainable Urban Development, Economic Geography, Urban and Regional Economics, Environmental Quality of Life, Geospatial and Econometric Analysis",rWBq01YAAAAJ,A5034674277,0000-0002-6627-5264,,,,,
75,Suzanne,Lanyi,Charles,Suzanne Charles,2011,Harvard University,,xfZKraEAAAAJ,A5021220667,0000-0002-8880-7014,,,,,
76,Jeffrey,,Chusid,Jeffrey Chusid,1982,UC Berkeley,"Historic Preservation Design & Planning, Architecture, Cultural Landscapes",,A5053004606,,,,https://linkedin.com/in/jeffrey-chusid-466bb0ba,,
77,Ding,,Fei,Ding Fei,2018,University of Minnesota,,FniXG3wAAAAJ,,,,,,,
78,Nicholas,,Klein,Nicholas Klein,2014,Rutgers University,,Kq3hMdYAAAAJ,A5042844135,0000-0002-7596-6147,,,,,
79,Neema,,Kudva,Neema Kudva,2001,UC Berkeley,"International Development Planning, Non-Government Organizations, Community Based Planning Practices, International Urbanization",QvnzVtMAAAAJ,A5036143132,,,,https://linkedin.com/in/neema-kudva-67731329,,
80,Jennifer,,Minner,Jennifer Minner,2013,"University of Texas, Austin","Land Use Planning, Geographic Information Systems, Historic Preservation, Sustainability. 607.255.5561",0jPZTmUAAAAJ,A5001038635,0000-0002-0403-6890,,https://researchgate.net/profile/Jennifer_Minner,,,
81,Sophie,,Oldfield,Sophie Oldfield,2000,University of Minnesota,,tP5O4C4AAAAJ,A5083269806,0000-0002-5601-3041,,,,,
82,Stephan,,Schmidt,Stephan Schmidt,2006,Rutgers University,,UNn68ykAAAAJ,A5011395922,0000-0003-2412-3868,,https://researchgate.net/profile/Stephan_Schmidt9,https://linkedin.com/in/stephanschmidtcornell,,
83,Linda,,Shi,Linda Shi,2017,MIT,,NBCtqiIAAAAJ,A5070264015,0000-0002-2444-367X,,,,,
84,Michael,,Tomlan,Michael Tomlan,1976,Cornell University,"Building Conservation Technology, Documentation Methods for Preservation, History of the Preservation Movement, China, India, Canada",b1xSziEAAAAJ,A5036373238,,,,https://linkedin.com/in/michael-tomlan-37a9329,,
85,Mildred,,Warner,Mildred Warner,1997,Cornell University,"Community Development, Economic Development, State & Local Government Policy",v1dOouMAAAAJ,A5005380055,0000-0002-0109-338X,,https://researchgate.net/profile/Mildred_Warner,https://linkedin.com/in/mildred-warner-b5758223,,
86,Wenfei,,Xu,Wenfei Xu,2022,Columbia University,,-VP9js8AAAAJ,,,,,,,
87,Lisa,,Berglund,Lisa Berglund,2017,UCLA,,vxeLlLIAAAAJ,A5073738871,0000-0002-2808-319X,,,,,
88,Ahsan,,Habib,Ahsan Habib,2009,University of Toronto,,EqK6qS0AAAAJ,,,,,,,
89,Patricia,,Manuel,Patricia Manuel,1992,Dalhousie University,,,,,,,,,
90,Eric,,Rapaport,Eric Rapaport,2002,"Royal Institute of Technology, Stockholm",,jNEOn3cAAAAJ,A5013477400,,,,,,
91,Mikiko,,Terashima,Mikiko Terashima,2011,Dalhousie University,,2zPJKmAAAAAJ,A5011160369,0000-0001-9246-4125,,,,,
92,Ren,,Thomas,Ren Thomas,2011,University of British Columbia,,fmEGMO8AAAAJ,A5033898244,0000-0001-6404-6460,,,,,
93,Misun,,Hur,Misun Hur,2008,Ohio State University,"Community Development, Urban Design, GIS & Visualization Technology, Environmental Behavior",Q7Rwqu8AAAAJ,A5064994512,0000-0002-1827-4187,,https://researchgate.net/profile/Misun_Hur,https://linkedin.com/in/misunhur,,
94,Andrew,,Jacobs,Andrew Jacobs,1999,Michigan State University,,,,,,,,,
95,Anuradha,,Mukherji,Anuradha Mukherji,2008,UC Berkeley,"Housing, Hazard Mitigation and Recovery, Disaster Planning and Management, International Development",88FnzbsAAAAJ,A5058366952,0000-0003-2315-7062,,https://researchgate.net/profile/Anuradha_Mukherji,https://linkedin.com/in/anuradhamukherji,,
96,Steven,,Richter,Steven Richter,2021,"University of Texas, Austin",,fRQbhxoAAAAJ,A5028593551,0000-0002-5135-9676,,,,,
97,Heather,,Khan-Welsh,Heather Khan-Welsh,2008,Florida State University,,,,,,,,,
98,RJ,,Koscielniak,RJ Koscielniak,2020,University of Michigan,,,,,,,,,
99,Matthew,,Anderson,Matthew Anderson,2012,"University of Illinois, Urbana-Champaign",,wHzEVFkAAAAJ,A5050876260,0000-0002-9092-2580,,,,,
100,Margo,,Hill,Margo Hill,1998,Gonzaga University,"Tribal Law, Tribal Planning and Management, Planning Law, Tribal Economic Development.",,A5048163774,,,,https://linkedin.com/in/margo-hill-6880bb48,,
101,Jason,,Scully,Jason Scully,2015,University of Washington,,,A5010939611,0000-0003-0693-7454,,,,,
102,Eric,,Dumbaugh,Eric Dumbaugh,2005,Georgia Tech,Transportation Planning and Design,QePeI0EAAAAJ,A5082212269,0000-0002-5254-9711,,https://researchgate.net/profile/Eric_Dumbaugh,https://linkedin.com/in/eric-dumbaugh-9818b913,,
103,Yanmei,,Li,Yanmei Li,2006,Ohio State University,"Statistics, Geography and Urban Planning",ZaF71qUAAAAJ,A5100642929,0000-0001-9416-8530,,https://researchgate.net/profile/Yanmei_Li8,https://linkedin.com/in/yanmeili,,
104,Melina,,Matos,Melina Matos,2021,Texas A&M,,W6UImc8AAAAJ,A5022012510,0000-0001-5067-3412,,,,,
105,Louis,,Merlin,Louis Merlin,2014,"University of North Carolina, Chapel Hill",,RpdvnXkAAAAJ,A5042236384,0000-0002-9267-5712,,,,,
106,Diana,,Mitsova,Diana Mitsova,2008,University of Cincinnati,"GIS Applications, GIS Data Collection, Environmental Modeling",tIME-ekAAAAJ,,,,https://researchgate.net/profile/Diana_Mitsova,https://linkedin.com/in/diana-mitsova-a220547b,,
107,Stephanie,,Wakefield,Stephanie Wakefield,2016,CUNY,,UTzKlfYAAAAJ,A5029542049,0000-0002-5070-8993,,,,,
108,Jeff,,Brown,Jeff Brown,2003,UCLA,,EPPBXzYAAAAJ,,,,,,,
109,William,H.,Butler,William Butler,2009,Virginia Tech,,Mk29S08AAAAJ,A5044193665,0000-0002-3286-0748,,https://researchgate.net/profile/William_Butler11,,,
110,Aurora,,Canales,Aurora Echavarria Canales,2025,UCLA,,,,,,,,,
111,Timothy,S.,Chapin,Timothy Chapin,1999,University of Washington,,YdGhnsIAAAAJ,A5021172493,,,https://researchgate.net/profile/Timothy_Chapin,https://linkedin.com/in/tim-chapin-64b0a46,,
112,Christopher,,Coutts,Christopher Coutts,2006,University of Michigan,Community Health and Health Behavior,l1E3KCoAAAAJ,A5091253122,0000-0003-3228-5891,,,,,
113,Michael,,Duncan,Michael Duncan,2007,UC Berkeley,"Transportation and Land Use, Sustainable Transportation, Pedestrian Communities, Planning Alternatives Evaluation",H3h-6zMAAAAJ,,,,https://researchgate.net/profile/Michael_Duncan9,,,
114,Tisha,,Holmes,Tisha Holmes,2015,UCLA,,,A5039091387,0000-0003-4754-9060,,,,,
115,Kelly,L.,Kinahan,Kelly Kinahan,2016,Cleveland State University,,dUgx9EoAAAAJ,A5051761741,0000-0002-5032-3532,,,,,
116,Meaghan,,McSorley,Meaghan McSorley,2023,Georgia Tech,,Ro12WEYAAAAJ,A5043195610,0000-0001-9565-4426,,,,,
117,Mehak,,Sachdeva,Mehak Sachdeva,2022,Arizona State University,,w5CaZhQAAAAJ,A5027859763,0000-0003-4375-5422,,,,,
118,Fariba,,Siddiq,Fariba Siddiq,2024,UCLA,,0YloEXcAAAAJ,,,,,,,
119,Uwe,,Brandes,Uwe Brandes,1995,Harvard University,,,,,,,,,
120,Gulsah,,Akar,Gulsah Akar,2009,University of Maryland,"Transportation, Energy, Public Health",hAkNdIYAAAAJ,A5017756587,0000-0003-4764-0913,,https://researchgate.net/profile/Gulsah_Akar,,,
121,Clio,,Andris,Clio Andris,2011,MIT,,D9jCEIkAAAAJ,A5078526118,0000-0002-8559-5079,,,,,
122,Emily,,Barrett,Emily Barrett,2025,Vanderbilt University,,,,,,,,,
123,Ellen,M.,Bassett,Ellen Bassett,2001,"University of Wisconsin, Madison","Land Use/ Growth Management, International Development",_fEEqz8AAAAJ,,,,https://researchgate.net/profile/Ellen_Bassett,https://linkedin.com/in/ellen-bassett-a722287a,,
124,Rounaq,,Basu,Rounaq Basu,2022,MIT,,Zx4Sk7YAAAAJ,A5019289414,0000-0001-5077-2613,,,,,
125,Paige,,Clayton,Paige Clayton,2020,UNC,,PoDA8vUAAAAJ,A5048483935,0000-0001-6005-8691,,,,,
126,William,J.,Drummond,William Drummond,1989,UNC,"Computer Applications, Historic Preservation, Geographic Information Systems, Land Use/ Growth Management, Quantitative Methods",,A5007207473,,,https://researchgate.net/profile/William_Drummond2,https://linkedin.com/in/bill-drummond-14950b9,,
127,Alberto,,Fuentes,Alberto Fuentes,2014,MIT,,H4iL3V0AAAAJ,A5073664134,0000-0003-2610-3684,,,,,
128,Randall,L.,Guensler,Randall Guensler,1993,University of California at Davis,,LRMzl7IAAAAJ,A5086393125,0000-0003-2204-7427,,,,,
129,Subhrajit,,Guhathakurta,Subhrajit Guhathakurta,1991,UC Berkeley,International Development and Planning; Urban Modeling and GIS; Computer Applications; Economic Development Planning; Environmental Planning,q6VQWEUAAAAJ,A5074349808,0000-0002-2456-3284,,,,,
130,Yiyi,,He,Yiyi He,2022,UC Berkeley,,xoUOI-wAAAAJ,A5101938113,0000-0002-9238-2880,,,,,
131,Gregory,,Randolph,Gregory Randolph,2023,USC,,LzsZrdgAAAAJ,A5047719635,0000-0003-3659-5192,,,,,
132,Elora,,Raymond,Elora Raymond,2017,Georgia Tech,,15wl6EoAAAAJ,A5063789108,0000-0002-9459-561X,,,,,
133,Brian,,Stone,Brian Stone,2001,Georgia Tech,"Environmental Planning, Urban Ecology, Land Use and Air Quality, Climate Change and Urban Heat Island",C6lK4ZQAAAAJ,A5017207102,0000-0002-2418-0486,,,https://linkedin.com/in/brian-stone-574b656,,
134,Perry,,Yang,Perry Yang,2001,National Taiwan University,,xgr9J9MAAAAJ,A5085912571,0000-0003-0809-8922,,,,,
135,Diane,E.,Davis,Diane Davis,1986,UCLA,"Comparative Urbanization, Urban Politics, International Development.",S0y4lCAAAAAJ,,,,,,,
136,Ann,,Forsyth,Ann Forsyth,1993,Cornell University,"Social Aspects of Physical Planning and Urban Design, Urban and Environmental Theory, Gender and Diversity, Research Methods, Professional Ethics, Planning and Design Education",TCt3q_AAAAAJ,A5007781505,0000-0002-8400-6842,,,,,
137,Jerold,S.,Kayden,Jerold Kayden,1979,Harvard University,"Planning and Environmental Law, Public and Private Development, International Planning and Development, Public Space, Historic Preservation",,A5029002134,,,,,,
138,Magda,,Maaoui,Magda Maaoui,2021,Columbia University,,GQYlya0AAAAJ,A5035145670,0000-0001-6950-8089,,,,,
139,Rahul,,Mehrotra,Rahul Mehrotra,1987,Harvard University,"Physical Planning/Urban Design, International Planning, Historic Preservation",,A5109211827,,,,,,
140,Rachel,,Meltzer,Rachel Meltzer,2009,NYU,"Economic Development, Quantitative Methods, Housing",aXJNIvMAAAAJ,A5020144497,0000-0002-8694-8956,,https://researchgate.net/profile/Rachel_Meltzer,,,
141,Richard,B.,Peiser,Richard Peiser,1980,University of Cambridge,"New Towns, Development Finance, International Development, Real Estate",,A5023603446,0000-0003-3058-3510,,https://researchgate.net/profile/Richard_Peiser,https://linkedin.com/in/richard-peiser-3a6942a,,
142,Peter,G.,Rowe,Peter Rowe,1986,Harvard University,"Housing and Neighborhood Planning, Physical Planning/ Urban Design, Planning History, Planning Theory, International Planning and Design",,,,,https://researchgate.net/profile/Peter_Rowe8,https://linkedin.com/in/peter-rowe-168ba646,,
143,Hannah,,Teicher,Hannah Teicher,2019,MIT,,TQXBGWsAAAAJ,A5063075226,0000-0002-8246-3134,,,,,
144,Carole,,Voulgaris,Carole Voulgaris,2017,UCLA,,BmzXltMAAAAJ,A5060988135,0000-0003-0556-924X,,,,,
145,Rachel,,Weber,Rachel Weber,1998,Cornell University,"Economic Development Planning, Planning Theory, Public Finance and Fiscal Planning",-nMertYAAAAJ,,,,https://researchgate.net/profile/Rachel_Weber,https://linkedin.com/in/rachel-weber-1b6404a,,
146,Stefan,,AL,Stefan Al,2010,UC Berkeley,,IrrSGOYAAAAJ,A5100665696,0000-0003-0605-8601,,,,,
147,Nicholas,,Bloom,Nicholas Bloom,1999,Brandeis University,,,,0000-0002-1600-7819,,,,,"un-accepted 2026-09-15: OpenAlex 65,929 citations against 770 from pop (85.6x); probable namesake"
148,John,,Chin,John Chin,2001,Columbia University,"community participation, urban health, immigrant communities and non-profits",gV7SKuUAAAAJ,A5012453075,0009-0003-2960-6452,,,,,
149,Owen,,Gutfreund,Owen Gutfreund,1998,Columbia University,"urban history, transportation policy, suburbanization, sustainable development, public finance, and comparative urbanization",P9xC7acAAAAJ,A5056358076,0000-0003-1113-6619,,,,,
150,Mehdi,,Heris,Mehdi Heris,2018,"University of Colorado, Denver",,JO0Whw8AAAAJ,A5033965436,0000-0002-4418-5030,,,,,
151,Edwin,,Meléndez,Edwin Meléndez,1990,"University of Massachusetts, Amherst","Latino studies, economic development, labor markets, poverty",NlgFyD4AAAAJ,A5108379103,,,,,,
152,Lily,,Pollans,Lily Baum Pollans,2017,MIT,,5k0u8OUAAAAJ,A5069513688,,,,,,
153,Sigmund,,Shipp,Sigmund Shipp,1990,Howard University,"economic development, community development, cultural competency and diversity, poverty",,A5088984164,,,,,,
154,Laura,,Wolf-Powers,Laura Wolf-Powers,2004,Rutgers University,"Neighborhood revitalization, urban and regional economic urban development policy and planning",HpXFwjkAAAAJ,A5017599316,0000-0001-5104-823X,,,,,
155,John,E.,Benhart,John Benhart,1995,University of Tennessee,"Environmental Planning, Geographic Information Systems, Transportation, Urbanization",,,,,,https://linkedin.com/in/john-benhart-74280132,,
156,Sudeshna,,Ghosh,Sudeshna Ghosh,2013,University of Cincinnati,"Land Use and Land Cover Change Modeling, GIS, Community Economic Development, Regional Planning and Development, Small Town and Rural Development Planning, Planning in the Developing World",kzHi8cQAAAAJ,,,,https://researchgate.net/profile/Sudeshna_Ghosh,https://linkedin.com/in/sudeshna-ghosh-87809721,,
157,Richard,J.,Hoch,Richard Hoch,2005,West Virginia University,"Environmental Planning, Geospatial Applications for Land Use Planning, Urban Development",,,,,,https://linkedin.com/in/richard-hoch-3aa24610,,
158,Calvin,O.,Masilela,Calvin Masilela,1989,Virginia Tech,"Land Use Policy, Planning Techniques, Planning Theory, Urban Planning",,A5001437900,,,https://researchgate.net/profile/Calvin_Masilela3,https://linkedin.com/in/calvin-masilela-13b01325,,
159,Carlton,,Basmajian,Carlton Basmajian,2008,University of Michigan,"Regional Planning, Planning History, Suburbia, Land Use",i-VJ0sIAAAAJ,A5015669396,0000-0002-6075-2189,,,https://linkedin.com/in/carlton-basmajian-861b8b2,,
160,Susan,L.,Bradbury,Susan Bradbury,1989,University of Florida,"Community Economic Development, Telecommunications Planning, Small Town and Rural Planning, Plan Development and Implementation",,A5003807757,0000-0001-6485-0985,,https://researchgate.net/profile/Monica_Haddad,https://linkedin.com/in/steven-p-bradbury-7b611597,,
161,Biswa,R.,Das,Biswa Das,2004,Texas Tech University,"Economic Development, Public Finance, Natural Resource and Environmental Economics.",rxa2w2oAAAAJ,A5110240365,,,,https://linkedin.com/in/061997,,
